date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:35	44071/44071	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:16%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/pages-user-profile.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/pages-user-profile.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:36	5243/5243	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:14%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/pages-signin.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/pages-signin.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:36	49519/49519	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:04%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/mailbox-folder.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/mailbox-folder.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:36	5091/5091	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:14%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/pages-signup.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/pages-signup.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:37	3912/3912	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:12%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/pages-recover-password.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/pages-recover-password.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:37	3892/3892	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:10%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/pages-lock-screen.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/pages-lock-screen.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:38	29676/29676	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:14%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/pages-session-timeout.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/pages-session-timeout.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:38	30949/30949	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:08%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/pages-calendar.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/pages-calendar.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:38	35104/35104	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:15%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/pages-timeline.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/pages-timeline.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:39	48117/48117	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:12%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/pages-media-gallery.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/pages-media-gallery.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:39	32915/32915	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:10%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/pages-invoice.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/pages-invoice.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:40	28775/28775	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:08%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/pages-blank.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/pages-blank.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:40	74289/74289	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Sep%202015%2018:54:52%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/assets/images/!logged-user.jpg	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/assets/images/!logged-user.jpg	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:40	29765/29765	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:07%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/pages-404.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/pages-404.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:40	3544/3544	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:07%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/pages-500.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/pages-500.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:41	39060/39060	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:12%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/pages-log-viewer.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/pages-log-viewer.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:41	37380/37380	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:13%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/pages-search-results.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/pages-search-results.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:42	47292/47292	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:43%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-typography.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-typography.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:42	72588/72588	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:29%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-icons-elusive.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-icons-elusive.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:42	161483/161483	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:30%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-icons-font-awesome.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-icons-font-awesome.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:43	68309/68309	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:31%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-icons-glyphicons.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-icons-glyphicons.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
